Symbol         | Company Name
3MINDIA        | 3M India Limited
AARTIDRUGS     | Aarti Drugs Limited
AARTIIND       | Aarti Industries Limited
AAVAS          | Aavas Financiers Limited
ABB            | ABB India Limited
ABBOTINDIA     | Abbott India Limited
ABCAPITAL      | Aditya Birla Capital Limited
ABFRL          | Aditya Birla Fashion and Retail Limited
ACC            | ACC Limited
ADANIENT       | Adani Enterprises Limited
ADANIGREEN     | Adani Green Energy Limited
ADANIPORTS     | Adani Ports and Special Economic Zone Limited
ADANIPOWER     | Adani Power Limited
ADANITRANS     | Adani Transmission Limited
ADVENZYMES     | Advanced Enzyme Technologies Limited
AEGISCHEM      | Aegis Logistics Limited
AFFLE          | Affle (India) Limited
AJANTPHARM     | Ajanta Pharma Limited
AKZOINDIA      | Akzo Nobel India Limited
ALEMBICLTD     | Alembic Limited
ALKEM          | Alkem Laboratories Limited
ALKYLAMINE     | Alkyl Amines Chemicals Limited
ALLCARGO       | Allcargo Logistics Limited
ALOKINDS       | Alok Industries Limited
AMARAJABAT     | Amara Raja Batteries Limited
AMBER          | Amber Enterprises India Limited
AMBUJACEM      | Ambuja Cements Limited
ANGELONE       | Angel One Limited
ANURAS         | Anupam Rasayan India Limited
APARINDS       | Apar Industries Limited
APLAPOLLO      | APL Apollo Tubes Limited
APLLTD         | Alembic Pharmaceuticals Limited
APOLLOHOSP     | Apollo Hospitals Enterprise Limited
APOLLOTYRE     | Apollo Tyres Limited
APTUS          | Aptus Value Housing Finance India Limited
ASHOKLEY       | Ashok Leyland Limited
ASIANPAINT     | Asian Paints Limited
ASTERDM        | Aster DM Healthcare Limited
ASTRAL         | Astral Limited
ASTRAZEN       | AstraZeneca Pharma India Limited
ATGL           | Adani Total Gas Limited
ATUL           | Atul Limited
AUBANK         | AU Small Finance Bank Limited
AUROPHARMA     | Aurobindo Pharma Limited
AVANTIFEED     | Avanti Feeds Limited
AWL            | Adani Wilmar Limited
AXISBANK       | Axis Bank Limited
BAJAJ-AUTO     | Bajaj Auto Limited
BAJAJCON       | Bajaj Consumer Care Limited
BAJAJELEC      | Bajaj Electricals Limited
BAJAJFINSV     | Bajaj Finserv Limited
BAJAJHLDNG     | Bajaj Holdings & Investment Limited
BAJFINANCE     | Bajaj Finance Limited
BALAMINES      | Balaji Amines Limited
BALKRISIND     | Balkrishna Industries Limited
BALRAMCHIN     | Balrampur Chini Mills Limited
BANDHANBNK     | Bandhan Bank Limited
BANKBARODA     | Bank of Baroda
BANKINDIA      | Bank of India
BATAINDIA      | Bata India Limited
BAYERCROP      | Bayer CropScience Limited
BBD            | Bombay Burmah Trading Corporation Limited
BBL            | Bharat Bijlee Limited
BDL            | Bharat Dynamics Limited
BEL            | Bharat Electronics Limited
BEML           | BEML Limited
BERGEPAINT     | Berger Paints India Limited
BHARATFORG     | Bharat Forge Limited
BHARTIARTL     | Bharti Airtel Limited
BHEL           | Bharat Heavy Electricals Limited
BIOCON         | Biocon Limited
BIRLACORPN     | Birla Corporation Limited
BLS            | BLS International Services Limited
BLUEDART       | Blue Dart Express Limited
BLUESTARCO     | Blue Star Limited
BORORENEW      | Borosil Renewables Limited
BOSCHLTD       | Bosch Limited
BPCL           | Bharat Petroleum Corporation Limited
BRIGADE        | Brigade Enterprises Limited
BRITANNIA      | Britannia Industries Limited
BSE            | BSE Limited
BSOFT          | Birlasoft Limited
CAMPUS         | Campus Activewear Limited
CANBK          | Canara Bank
CANFINHOME     | Can Fin Homes Limited
CAPLIPOINT     | Caplin Point Laboratories Limited
CARBORUNIV     | Carborundum Universal Limited
CASTROLIND     | Castrol India Limited
CCL            | CCL Products (India) Limited
CEATLTD        | CEAT Limited
CENTRALBK      | Central Bank of India
CENTURYPLY     | Century Plyboards (India) Limited
CERA           | Cera Sanitaryware Limited
CESC           | CESC Limited
CGCL           | Capri Global Capital Limited
CGPOWER        | CG Power and Industrial Solutions Limited
CHAMBLFERT     | Chambal Fertilisers and Chemicals Limited
CHEMPLASTS     | Chemplast Sanmar Limited
CHOLAHLDNG     | Cholamandalam Financial Holdings Limited
CHOLAFIN       | Cholamandalam Investment and Finance Company Limited
CIPLA          | Cipla Limited
CAMS           | Computer Age Management Services Limited
CLEAN          | Clean Science and Technology Limited
COALINDIA      | Coal India Limited
COCHINSHIP     | Cochin Shipyard Limited
COFORGE        | Coforge Limited
COLPAL         | Colgate Palmolive (India) Limited
CONCOR         | Container Corporation of India Limited
COROMANDEL     | Coromandel International Limited
CREDITACC      | CreditAccess Grameen Limited
CROMPTON       | Crompton Greaves Consumer Electricals Limited
CSBBANK        | CSB Bank Limited
